gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,1,No,No,0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.55,18.8,Yes
Female,0,Yes,No,72,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),113.47,3511.0647257338974,No
Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.55,18.8,No
Male,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),74.68,6111.093156242356,No
Male,0,No,Yes,68,No,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.64,438.9070357051871,Yes
Male,0,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.41,18.8,Yes
Male,0,No,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),115.09,755.7084601600884,Yes
Male,1,Yes,No,6,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,110.95,2692.198981351901,No
Female,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,31.14,18.8,No
Male,0,Yes,No,61,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.42,5898.15280219328,No
Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),27.1,110.90127291834314,Yes
Female,1,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.79,18.8,No
Male,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.93,212.57973623272562,No
Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),30.84,18.8,No
Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.38,18.8,No
Female,0,Yes,Yes,72,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),118.75,1233.325516090274,No
Male,0,Yes,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.73,41.962874060470426,No
Male,0,No,No,10,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,118.5,552.3362181871626,Yes
Male,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,23.56,18.8,No
Female,1,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),113.85,1831.0395268883146,Yes
Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.04,451.79002248482914,No
Male,0,No,No,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,65.61,18.8,Yes
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),118.75,8684.8,No
Male,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.4,479.9858129096697,No
Male,1,No,No,22,No,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,75.17,18.8,No
Male,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.78,18.8,No
Male,0,Yes,No,40,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,97.51,7777.739549089012,Yes
Female,0,No,Yes,23,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),18.59,18.8,No
Male,0,Yes,No,18,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),100.82,741.4455275917696,No
Female,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),118.75,8684.8,No
Male,0,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),27.47,18.8,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),118.75,1688.6374269218059,No
Male,0,Yes,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.47,439.32571720504893,No
Female,0,Yes,Yes,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),116.02,8684.8,No
Female,0,Yes,Yes,9,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),69.46,5943.42894501153,No
Male,0,Yes,No,72,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),58.11,18.8,No
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,71.26,8684.8,No
Male,0,No,No,72,No,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,55.97,159.67463341731207,Yes
Male,1,Yes,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,98.24,3660.053829584959,Yes
Male,0,No,No,33,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.29,676.7169214082475,No
Female,0,Yes,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),30.28,18.8,No
Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),31.35,852.7526575805847,No
Male,1,No,No,39,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Two year,No,Mailed check,109.82,18.8,No
Male,1,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,116.68,6383.221580482468,No
Male,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,26.43,346.91263738155664,No
Male,0,No,No,18,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,54.72,518.3693395239322,Yes
Male,0,Yes,No,60,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,51.45,4304.282004951179,Yes
Male,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),26.96,18.8,No
Male,0,Yes,No,43,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,25.87,78.09451396527732,No
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.28,2672.0293753803853,No
Female,0,No,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,51.99,8684.8,No
Male,0,Yes,Yes,14,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,81.86,6653.411309972171,Yes
Female,0,Yes,No,0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,118.75,18.8,Yes
Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.69,18.8,No
Male,0,No,Yes,7,No,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,66.84,101.2177048549379,Yes
Female,0,No,No,0,Yes,No,No,No,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),29.2,18.8,No
Male,1,Yes,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,62.94,2784.717218052346,Yes
Male,0,No,Yes,50,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),118.75,502.7041770340795,No
Male,0,Yes,Yes,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),25.26,193.44052988252787,No
Female,0,Yes,Yes,72,Yes,Yes,No,Yes,Yes,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),31.79,545.7631902426484,No
Male,0,Yes,Yes,72,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),29.11,8684.8,No
Female,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,118.75,5167.294934070479,Yes
Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,108.3,886.983797700208,No
Female,0,Yes,No,51,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),105.9,685.9700333110138,No
Male,0,No,No,0,Yes,No,Fiber optic,Yes,No internet service,No,No,Yes,No,Month-to-month,No,Credit card (automatic),118.08,4643.587796610266,Yes
Female,0,Yes,No,8,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),29.91,18.8,No
Female,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.41,18.8,No
Female,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,112.7,8684.8,No
Female,0,No,Yes,72,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,No,Electronic check,118.75,18.8,No
Male,0,Yes,Yes,11,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),108.6,2463.3315426368513,No
Male,0,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.68,639.60535590463,No
Male,0,No,No,0,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,56.13,498.1397483857536,Yes
Male,0,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),29.84,991.4303065295758,No
Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.39,18.8,Yes
Male,1,Yes,Yes,72,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),118.75,456.27398275851647,No
Male,0,No,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.26,169.3028855034571,No
Female,0,Yes,No,21,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,112.95,18.8,No
Male,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.61,658.1506714450912,No
Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),117.19,1601.8903546605095,No
Female,0,No,Yes,72,No,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),40.06,18.8,No
Male,0,No,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.16,18.8,No
Male,0,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),30.61,768.7324701638528,No
Female,0,Yes,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Mailed check,93.86,3834.9706050444956,No
Male,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,68.99,18.8,Yes
Male,0,Yes,Yes,52,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),83.45,497.2899668210989,No
Female,0,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),31.38,18.8,No
Female,0,Yes,Yes,38,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),53.29,3224.6590139889154,No
Female,0,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,57.13,18.8,Yes
Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,929.3639195103344,No
Female,0,Yes,No,0,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.97,2140.520400172495,No
Male,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,23.91,411.9802141811224,No
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,113.82,231.44524674033846,No
Male,1,Yes,Yes,0,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,53.01,3795.2522389517676,Yes
Male,1,No,No,47,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,56.04,1707.6861592194473,Yes
Male,1,Yes,No,38,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),41.26,8543.723759717159,No
Male,1,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),99.42,4149.96321535308,No
Male,1,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,118.75,1926.3099734124962,Yes
Female,1,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),118.75,18.8,Yes
Male,0,Yes,Yes,42,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),112.78,2465.701472969563,No
Male,0,No,No,4,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.77,814.4805840408635,Yes
Male,0,No,No,43,No,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,66.45,18.8,No
Male,0,No,No,13,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),74.08,18.8,No
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,115.14,4216.918502057948,No
Male,0,Yes,Yes,37,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,67.1,7302.526618227093,No
Male,0,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),29.98,1653.874115644086,No
Male,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),30.42,96.67168069397687,No
Female,0,No,No,69,No,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,101.3,18.8,Yes
Female,1,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.37,503.28943490803977,Yes
Female,0,No,No,57,Yes,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),116.2,18.8,No
Male,0,No,Yes,50,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,66.53,352.4071222055318,No
Female,1,No,No,10,No,No phone service,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),118.75,18.8,Yes
Male,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),113.51,8684.8,No
Male,0,No,No,65,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,118.75,1918.4347795576855,No
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,118.75,8684.8,No
Female,0,No,No,0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.7,564.4022781958834,Yes
Female,0,Yes,Yes,51,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.86,18.8,No
Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,70.39,8405.737539504866,No
Male,0,Yes,Yes,71,Yes,No,No,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,33.91,848.4393288288753,No
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,99.59,18.8,Yes
Male,1,No,No,0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,36.57,6320.724322295749,No
Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,71.25,18.8,No
Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Credit card (automatic),118.75,4943.064217967954,No
Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),105.02,482.94143367742106,No
Female,0,Yes,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,650.9004878698337,No
Male,0,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,One year,No,Credit card (automatic),27.24,300.07022118296476,No
Male,0,No,No,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.31,18.8,No
Female,1,No,Yes,0,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,115.55,923.237947031225,No
Female,0,Yes,Yes,0,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.16,3794.7683457214457,No
Male,1,Yes,No,0,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),35.01,6185.183525386874,No
Male,0,Yes,Yes,29,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Two year,Yes,Mailed check,30.8,58.50426665119444,No
Male,1,Yes,Yes,0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),118.75,144.23083802890687,No
Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.42,2484.686361119322,No
Male,0,No,No,14,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,48.69,18.8,No
Female,0,Yes,No,6,Yes,No,No,No internet service,No internet service,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),28.86,71.85012025775953,No
Male,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),30.23,18.8,No
Male,0,No,No,72,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),118.75,7280.334208350985,Yes
Female,0,Yes,No,68,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),50.57,18.8,No
Male,0,No,Yes,9,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),102.81,219.094673868946,No
Female,1,No,No,33,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,77.89,127.57223797502127,No
Male,0,Yes,Yes,12,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,69.28,2083.6719036517975,No
Male,0,Yes,Yes,7,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,118.75,5825.950726786418,Yes
Male,1,No,No,72,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.72,431.67292470762027,No
Male,0,Yes,No,45,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),86.9,264.55422078755237,No
Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,25.38,507.32304244136355,No
Male,0,No,No,72,No,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,118.75,18.8,No
Male,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),107.3,488.857460862063,No
Male,0,No,Yes,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.3,936.4758896546314,Yes
Male,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,78.29,4220.975527035847,No
Male,0,Yes,Yes,36,Yes,No,No,No,Yes,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,29.96,3946.3528193114926,No
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.35,642.1742217034879,Yes
Female,0,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,Mailed check,23.47,18.8,No
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),69.58,945.3823481580453,Yes
Male,0,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),118.75,8684.8,No
Male,0,No,No,50,Yes,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,55.42,4384.975300839946,Yes
Female,1,No,Yes,64,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,118.75,1065.3440568938345,No
Female,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),116.97,8684.8,No
